Hmes(G)	Hcons(G)	V1xx (V)	I1xx(A)	R1xx(Ohm)	V2xy (V)	I2xx (A)	R2xy (Ohm)	Virt 	Iload ((A)	Rvirt (Ohm)	Vload (V)	Ivirt	Rvirt (Ohm)
-2,940000E+2	-2,500000E+2	2,537274E-2	1,000013E-3	2,537241E+1	5,575421E-6	1,000012E-3	5,575354E-3	1,000000E+0	-4,365575E-10	-2,290649E+9	-4,833000E-6	1,000000E+0	-4,833000E-6
-2,330000E+2	-2,000000E+2	2,537057E-2	1,000015E-3	2,537019E+1	6,104524E-6	1,000012E-3	6,104450E-3	1,000000E+0	-2,037268E-10	-4,908534E+9	-6,967000E-6	1,000000E+0	-6,967000E-6
-1,730000E+2	-1,500000E+2	2,537308E-2	1,000009E-3	2,537285E+1	7,040412E-6	1,000007E-3	7,040363E-3	1,000000E+0	-6,693881E-10	-1,493902E+9	-6,445000E-6	1,000000E+0	-6,445000E-6
-1,150000E+2	-1,000000E+2	2,537400E-2	1,000014E-3	2,537364E+1	8,964695E-6	1,000010E-3	8,964606E-3	1,000000E+0	-8,731149E-11	-1,145325E+10	-1,580000E-6	1,000000E+0	-1,580000E-6
-5,600000E+1	-5,000000E+1	2,537073E-2	1,000016E-3	2,537032E+1	1,508769E-5	1,000012E-3	1,508751E-2	1,000000E+0	-2,619345E-10	-3,817748E+9	3,541000E-6	1,000000E+0	3,541000E-6
-5,200000E+1	0,000000E+0	2,536955E-2	1,000013E-3	2,536922E+1	1,572060E-5	1,000014E-3	1,572038E-2	1,000000E+0	-2,910383E-10	-3,435974E+9	3,797000E-6	1,000000E+0	3,797000E-6
-5,000000E+1	5,000000E+1	2,537115E-2	1,000016E-3	2,537074E+1	1,601804E-5	1,000006E-3	1,601794E-2	1,000000E+0	-4,656613E-10	-2,147484E+9	3,422000E-6	1,000000E+0	3,422000E-6
4,000000E+0	1,000000E+2	2,532987E-2	1,000012E-3	2,532957E+1	6,574980E-5	1,000016E-3	6,574875E-2	1,000000E+0	-1,746230E-10	-5,726622E+9	5,224700E-5	1,000000E+0	5,224700E-5
6,100000E+1	1,500000E+2	2,537005E-2	1,000014E-3	2,536969E+1	1,306040E-5	1,000013E-3	1,306023E-2	1,000000E+0	-4,074536E-10	-2,454267E+9	2,791000E-6	1,000000E+0	2,791000E-6
1,190000E+2	2,000000E+2	2,537073E-2	1,000015E-3	2,537035E+1	8,518473E-6	1,000016E-3	8,518336E-3	1,000000E+0	-2,910383E-10	-3,435974E+9	-3,426000E-6	1,000000E+0	-3,426000E-6
1,770000E+2	2,500000E+2	2,537038E-2	1,000010E-3	2,537013E+1	6,840737E-6	1,000017E-3	6,840621E-3	1,000000E+0	-2,910383E-10	-3,435974E+9	-5,664000E-6	1,000000E+0	-5,664000E-6
2,360000E+2	3,000000E+2	2,536887E-2	1,000013E-3	2,536854E+1	5,995784E-6	1,000010E-3	5,995724E-3	1,000000E+0	-4,947651E-10	-2,021161E+9	-7,628000E-6	1,000000E+0	-7,628000E-6
2,950000E+2	3,500000E+2	2,536845E-2	1,000011E-3	2,536817E+1	5,499978E-6	1,000011E-3	5,499917E-3	1,000000E+0	-4,947651E-10	-2,021161E+9	-5,346000E-6	1,000000E+0	-5,346000E-6
3,530000E+2	4,000000E+2	2,536888E-2	1,000011E-3	2,536860E+1	5,130310E-6	1,000011E-3	5,130254E-3	1,000000E+0	-4,365575E-10	-2,290649E+9	-8,173000E-6	1,000000E+0	-8,173000E-6
1,616000E+3	1,900000E+3	2,536325E-2	1,000017E-3	2,536282E+1	3,325527E-6	1,000016E-3	3,325473E-3	1,000000E+0	-4,365575E-10	-2,290649E+9	-7,141000E-6	1,000000E+0	-7,141000E-6
3,203000E+3	3,400000E+3	2,535643E-2	1,000015E-3	2,535605E+1	3,128772E-6	1,000015E-3	3,128725E-3	1,000000E+0	-5,529728E-10	-1,808407E+9	-7,936000E-6	1,000000E+0	-7,936000E-6
4,767000E+3	4,900000E+3	2,535063E-2	1,000017E-3	2,535020E+1	3,076667E-6	1,000016E-3	3,076617E-3	1,000000E+0	-4,365575E-10	-2,290649E+9	-7,546000E-6	1,000000E+0	-7,546000E-6
6,291000E+3	6,400000E+3	2,534736E-2	1,000014E-3	2,534701E+1	2,938256E-6	1,000017E-3	2,938206E-3	1,000000E+0	-5,529728E-10	-1,808407E+9	-7,267000E-6	1,000000E+0	-7,267000E-6
7,629000E+3	7,900000E+3	2,534139E-2	1,000015E-3	2,534101E+1	2,952540E-6	1,000017E-3	2,952490E-3	1,000000E+0	-4,074536E-10	-2,454267E+9	-1,067800E-5	1,000000E+0	-1,067800E-5
9,137000E+3	9,400000E+3	2,533357E-2	1,000012E-3	2,533327E+1	2,644735E-6	1,000015E-3	2,644695E-3	1,000000E+0	-3,492460E-10	-2,863311E+9	-9,173000E-6	1,000000E+0	-9,173000E-6
1,076200E+4	1,090000E+4	2,532938E-2	1,000017E-3	2,532895E+1	2,732548E-6	1,000016E-3	2,732505E-3	1,000000E+0	-3,201421E-10	-3,123613E+9	-9,723000E-6	1,000000E+0	-9,723000E-6
1,234100E+4	1,240000E+4	2,532341E-2	1,000018E-3	2,532295E+1	2,871765E-6	1,000014E-3	2,871725E-3	1,000000E+0	-4,074536E-10	-2,454267E+9	-7,188000E-6	1,000000E+0	-7,188000E-6
1,380000E+4	1,390000E+4	2,531684E-2	1,000011E-3	2,531656E+1	2,919344E-6	1,000011E-3	2,919312E-3	1,000000E+0	-4,074536E-10	-2,454267E+9	-7,028000E-6	1,000000E+0	-7,028000E-6
1,482700E+4	1,500000E+4	2,531306E-2	1,000010E-3	2,531281E+1	3,149896E-6	1,000011E-3	3,149861E-3	1,000000E+0	-3,201421E-10	-3,123613E+9	-9,619000E-6	1,000000E+0	-9,619000E-6
