Hmes(G)	Hcons(G)	V1xx (V)	I1xx(A)	R1xx(Ohm)	V2xy (V)	I2xx (A)	R2xy (Ohm)	Virt 	Iload ((A)	Rvirt (Ohm)	Vload (V)	Ivirt	Rvirt (Ohm)
-7,434000E+3	-7,400000E+3	2,454648E-2	1,000037E-3	2,454557E+1	-4,685172E-6	1,000039E-3	-4,684989E-3	1,000000E+0	-5,820766E-11	-1,717987E+10	-1,862500E-5	1,000000E+0	-1,862500E-5
-8,508000E+3	-8,400000E+3	2,454345E-2	1,000036E-3	2,454257E+1	-4,688593E-6	1,000040E-3	-4,688405E-3	1,000000E+0	2,910383E-10	3,435974E+9	-1,638200E-5	1,000000E+0	-1,638200E-5
-9,442000E+3	-9,400000E+3	2,453950E-2	1,000035E-3	2,453864E+1	-4,716659E-6	1,000042E-3	-4,716461E-3	1,000000E+0	3,492460E-10	2,863311E+9	-1,758000E-5	1,000000E+0	-1,758000E-5
-1,016400E+4	-1,000000E+4	2,453691E-2	1,000045E-3	2,453581E+1	-4,671999E-6	1,000039E-3	-4,671817E-3	1,000000E+0	5,820766E-11	1,717987E+10	-1,768600E-5	1,000000E+0	-1,768600E-5
-9,306000E+3	-9,000000E+3	2,454245E-2	1,000039E-3	2,454149E+1	-4,610338E-6	1,000039E-3	-4,610159E-3	1,000000E+0	-1,455192E-10	-6,871945E+9	-1,625600E-5	1,000000E+0	-1,625600E-5
-8,291000E+3	-8,000000E+3	2,454589E-2	1,000040E-3	2,454491E+1	-4,584284E-6	1,000039E-3	-4,584106E-3	1,000000E+0	-2,619345E-10	-3,817748E+9	-1,997300E-5	1,000000E+0	-1,997300E-5
-7,218000E+3	-7,000000E+3	2,454851E-2	1,000044E-3	2,454743E+1	-4,588706E-6	1,000037E-3	-4,588536E-3	1,000000E+0	-2,037268E-10	-4,908534E+9	-1,575200E-5	1,000000E+0	-1,575200E-5
-6,289000E+3	-6,000000E+3	2,455363E-2	1,000043E-3	2,455257E+1	-4,558628E-6	1,000043E-3	-4,558432E-3	1,000000E+0	5,820766E-11	1,717987E+10	-1,821000E-5	1,000000E+0	-1,821000E-5
-5,214000E+3	-5,000000E+3	2,455783E-2	1,000045E-3	2,455672E+1	-4,523924E-6	1,000043E-3	-4,523729E-3	1,000000E+0	2,328306E-10	4,294968E+9	-1,891800E-5	1,000000E+0	-1,891800E-5
-4,182000E+3	-4,000000E+3	2,456195E-2	1,000044E-3	2,456087E+1	-4,472826E-6	1,000045E-3	-4,472625E-3	1,000000E+0	6,111804E-10	1,636178E+9	-1,942100E-5	1,000000E+0	-1,942100E-5
-3,153000E+3	-3,000000E+3	2,456591E-2	1,000042E-3	2,456488E+1	-4,437318E-6	1,000040E-3	-4,437141E-3	1,000000E+0	5,820766E-10	1,717987E+9	-1,586800E-5	1,000000E+0	-1,586800E-5
-2,171000E+3	-2,000000E+3	2,456935E-2	1,000036E-3	2,456847E+1	-4,336928E-6	1,000037E-3	-4,336768E-3	1,000000E+0	4,656613E-10	2,147484E+9	-1,861900E-5	1,000000E+0	-1,861900E-5
-1,083000E+3	-1,000000E+3	2,457431E-2	1,000043E-3	2,457325E+1	-4,052759E-6	1,000042E-3	-4,052589E-3	1,000000E+0	-8,731149E-11	-1,145325E+10	-1,901000E-5	1,000000E+0	-1,901000E-5
-4,860000E+2	-4,000000E+2	2,457466E-2	1,000039E-3	2,457370E+1	-3,350134E-6	1,000041E-3	-3,349997E-3	1,000000E+0	2,910383E-11	3,435974E+10	-1,571800E-5	1,000000E+0	-1,571800E-5
-4,060000E+2	-3,500000E+2	2,457667E-2	1,000038E-3	2,457574E+1	-3,151166E-6	1,000037E-3	-3,151050E-3	1,000000E+0	3,492460E-10	2,863311E+9	-1,653600E-5	1,000000E+0	-1,653600E-5
-3,430000E+2	-3,000000E+2	2,457717E-2	1,000041E-3	2,457616E+1	-2,890135E-6	1,000042E-3	-2,890013E-3	1,000000E+0	-2,037268E-10	-4,908534E+9	-1,815400E-5	1,000000E+0	-1,815400E-5
-2,840000E+2	-2,500000E+2	2,457641E-2	1,000045E-3	2,457530E+1	-2,505779E-6	1,000041E-3	-2,505676E-3	1,000000E+0	1,746230E-10	5,726622E+9	-1,605800E-5	1,000000E+0	-1,605800E-5
-2,250000E+2	-2,000000E+2	2,457753E-2	1,000042E-3	2,457650E+1	-1,943578E-6	1,000043E-3	-1,943494E-3	1,000000E+0	4,656613E-10	2,147484E+9	-1,426200E-5	1,000000E+0	-1,426200E-5
-1,650000E+2	-1,500000E+2	2,457843E-2	1,000040E-3	2,457745E+1	-9,676484E-7	1,000044E-3	-9,676058E-4	1,000000E+0	-2,910383E-11	-3,435974E+10	-1,518700E-5	1,000000E+0	-1,518700E-5
-1,060000E+2	-1,000000E+2	2,457910E-2	1,000048E-3	2,457792E+1	1,094966E-6	1,000039E-3	1,094923E-3	1,000000E+0	3,492460E-10	2,863311E+9	-1,285200E-5	1,000000E+0	-1,285200E-5
-4,800000E+1	-5,000000E+1	2,458204E-2	1,000038E-3	2,458111E+1	8,539091E-6	1,000041E-3	8,538741E-3	1,000000E+0	2,910383E-10	3,435974E+9	-5,516000E-6	1,000000E+0	-5,516000E-6
-4,400000E+1	0,000000E+0	2,458119E-2	1,000041E-3	2,458018E+1	9,374598E-6	1,000038E-3	9,374242E-3	1,000000E+0	5,820766E-10	1,717987E+9	-3,916000E-6	1,000000E+0	-3,916000E-6
